Id,Nombre,Localidad,Ano,NoFamilias,NoPersonas,Ano_1,ExistenDesplazados,PorcentajeDesplazamiento,Fecha,Alcantarillado,Electricidad,Colegio,CAI,Gas,HospitalPublico,Transporte,IntervencionTecho,Coordenada,poligono,poligono_geojson
1,ALASKA,Usme,1976,400,1000,1976,Si,Menos del 50%,2015-12-08T17:44:09.780Z,Si,Si,Si,No,Si,No,No,No,POINT (-74.11147 4.53002),"POLYGON((-74.1135979 4.5309553,-74.1132921 4.5308751,-74.1132814 4.5309178,-74.113217 4.5308991,-74.1132197 4.5308617,-74.1130131 4.5307842,-74.112702 4.5307253,-74.11234 4.530678,-74.1119993 4.5306237,-74.1118115 4.530597,-74.1115487 4.5305916,-74.1113716 4.5305595,-74.1112697 4.5305114,-74.1110873 4.5305489,-74.1109854 4.5305489,-74.1107762 4.5306237,-74.1107118 4.5306237,-74.1105992 4.5305275,-74.1104543 4.5304098,-74.1102344 4.5303136,-74.1100681 4.5302013,-74.1098803 4.5300943,-74.1098267 4.5300141,-74.1097891 4.5299125,-74.1097569 4.5297627,-74.1097462 4.5296665,-74.1097301 4.5295756,-74.1096389 4.5294472,-74.109596 4.5293724,-74.1095477 4.529244,-74.1094995 4.5290676,-74.1103739 4.5292119,-74.110921 4.5293028,-74.1115594 4.5294152,-74.112226 4.529507,-74.1123104 4.5297788,-74.1123909 4.5300248,-74.1130346 4.5301264,-74.1135174 4.5302226,-74.1135818 4.5302975,-74.1137052 4.5303349,-74.1136837 4.530613,-74.1135979 4.5309553))","{""type"":""Polygon"",""coordinates"":[[[-74.1135979,4.5309553],[-74.1132921,4.5308751],[-74.1132814,4.5309178],[-74.113217,4.5308991],[-74.1132197,4.5308617],[-74.1130131,4.5307842],[-74.112702,4.5307253],[-74.11234,4.530678],[-74.1119993,4.5306237],[-74.1118115,4.530597],[-74.1115487,4.5305916],[-74.1113716,4.5305595],[-74.1112697,4.5305114],[-74.1110873,4.5305489],[-74.1109854,4.5305489],[-74.1107762,4.5306237],[-74.1107118,4.5306237],[-74.1105992,4.5305275],[-74.1104543,4.5304098],[-74.1102344,4.5303136],[-74.1100681,4.5302013],[-74.1098803,4.5300943],[-74.1098267,4.5300141],[-74.1097891,4.5299125],[-74.1097569,4.5297627],[-74.1097462,4.5296665],[-74.1097301,4.5295756],[-74.1096389,4.5294472],[-74.109596,4.5293724],[-74.1095477,4.529244],[-74.1094995,4.5290676],[-74.1103739,4.5292119],[-74.110921,4.5293028],[-74.1115594,4.5294152],[-74.112226,4.529507],[-74.1123104,4.5297788],[-74.1123909,4.5300248],[-74.1130346,4.5301264],[-74.1135174,4.5302226],[-74.1135818,4.5302975],[-74.1137052,4.5303349],[-74.1136837,4.530613],[-74.1135979,4.5309553]]]}"
2,Brisas del llano,Usme,1995,187,750,1995,Si,Menos del 50%,2015-12-09T16:41:40.466Z,Si,Si,Si,Si,Si,No,Si,Si,POINT (-74.1047686111111 4.48585277777778),"POLYGON((-74.1057069 4.486686,-74.1039151 4.4861406,-74.1036254 4.4860389,-74.1029602 4.4857234,-74.1035289 4.4852581,-74.1038239 4.4856592,-74.1045213 4.4852902,-74.1044703 4.4851512,-74.1046339 4.485087,-74.1048656 4.4850417,-74.1047432 4.4856489,-74.1054051 4.4854941,-74.1057202 4.4855804,-74.105857 4.4852181,-74.1059589 4.4850389,-74.1062003 4.4851779,-74.1059214 4.4858678,-74.1057069 4.486686))","{""type"":""Polygon"",""coordinates"":[[[-74.1057069,4.486686],[-74.1039151,4.4861406],[-74.1036254,4.4860389],[-74.1029602,4.4857234],[-74.1035289,4.4852581],[-74.1038239,4.4856592],[-74.1045213,4.4852902],[-74.1044703,4.4851512],[-74.1046339,4.485087],[-74.1048656,4.4850417],[-74.1047432,4.4856489],[-74.1054051,4.4854941],[-74.1057202,4.4855804],[-74.105857,4.4852181],[-74.1059589,4.4850389],[-74.1062003,4.4851779],[-74.1059214,4.4858678],[-74.1057069,4.486686]]]}"
3,Compostela I,Usme,NULL,150,1000,NULL,Si,NULL,NULL,Si,Si,Si,Si,Si,No,Si,No,POINT (-74.1036577777778 4.509495),"POLYGON((-74.1036093 4.5098959,-74.1035128 4.509813,-74.1033465 4.5097488,-74.1030782 4.5097007,-74.1027081 4.5096285,-74.1023406 4.509551,-74.1020644 4.5094868,-74.1016755 4.5094066,-74.1010398 4.5092782,-74.1011069 4.5089279,-74.1011336 4.5088558,-74.1012517 4.5088504,-74.101375 4.5088103,-74.1014341 4.5087675,-74.1015682 4.5087247,-74.1016996 4.5087167,-74.1019303 4.5087007,-74.1021931 4.5087568,-74.1021958 4.5089199,-74.1023219 4.5089253,-74.102464 4.5089627,-74.1024426 4.5091285,-74.1025096 4.5091526,-74.1025713 4.5091232,-74.1026357 4.5090777,-74.1027108 4.5090911,-74.1027242 4.5092355,-74.1028234 4.5092381,-74.1029307 4.5092488,-74.1029656 4.5091873,-74.1030219 4.5090991,-74.1031399 4.5090055,-74.1031078 4.5088985,-74.1030729 4.5086632,-74.1030782 4.5085723,-74.1030917 4.5083932,-74.1042048 4.5073958,-74.1043415 4.5074948,-74.1044864 4.5076178,-74.1046393 4.5077541,-74.1047976 4.5078932,-74.1049531 4.508099,-74.1051033 4.5082621,-74.1052347 4.5084627,-74.1053233 4.5086098,-74.1053233 4.5087114,-74.1053018 4.5088264,-74.1051261 4.5088117,-74.1049578 4.5086974,-74.1047663 4.5088969,-74.1043496 4.5092141,-74.1042772 4.5093371,-74.1042343 4.509436,-74.1042289 4.5094948,-74.1041967 4.5095269,-74.1039205 4.5096499,-74.1036093 4.5098959))","{""type"":""Polygon"",""coordinates"":[[[-74.1036093,4.5098959],[-74.1035128,4.509813],[-74.1033465,4.5097488],[-74.1030782,4.5097007],[-74.1027081,4.5096285],[-74.1023406,4.509551],[-74.1020644,4.5094868],[-74.1016755,4.5094066],[-74.1010398,4.5092782],[-74.1011069,4.5089279],[-74.1011336,4.5088558],[-74.1012517,4.5088504],[-74.101375,4.5088103],[-74.1014341,4.5087675],[-74.1015682,4.5087247],[-74.1016996,4.5087167],[-74.1019303,4.5087007],[-74.1021931,4.5087568],[-74.1021958,4.5089199],[-74.1023219,4.5089253],[-74.102464,4.5089627],[-74.1024426,4.5091285],[-74.1025096,4.5091526],[-74.1025713,4.5091232],[-74.1026357,4.5090777],[-74.1027108,4.5090911],[-74.1027242,4.5092355],[-74.1028234,4.5092381],[-74.1029307,4.5092488],[-74.1029656,4.5091873],[-74.1030219,4.5090991],[-74.1031399,4.5090055],[-74.1031078,4.5088985],[-74.1030729,4.5086632],[-74.1030782,4.5085723],[-74.1030917,4.5083932],[-74.1042048,4.5073958],[-74.1043415,4.5074948],[-74.1044864,4.5076178],[-74.1046393,4.5077541],[-74.1047976,4.5078932],[-74.1049531,4.508099],[-74.1051033,4.5082621],[-74.1052347,4.5084627],[-74.1053233,4.5086098],[-74.1053233,4.5087114],[-74.1053018,4.5088264],[-74.1051261,4.5088117],[-74.1049578,4.5086974],[-74.1047663,4.5088969],[-74.1043496,4.5092141],[-74.1042772,4.5093371],[-74.1042343,4.509436],[-74.1042289,4.5094948],[-74.1041967,4.5095269],[-74.1039205,4.5096499],[-74.1036093,4.5098959]]]}"
4,Brazuelos,Usme,1957,500,NULL,1957,Si,Menos del 50%,NULL,Si,Si,Si,No,Si,No,Si,No,POINT (-74.1201691666667 4.50395722222222),"POLYGON((-74.1245306 4.5039759,-74.124434 4.504163,-74.1240799 4.5040935,-74.1239995 4.504254,-74.1231948 4.5039919,-74.1231036 4.504286,-74.1228622 4.5043983,-74.122079 4.5042165,-74.1220415 4.5042807,-74.1219717 4.50427,-74.1218966 4.5045267,-74.1217947 4.504623,-74.1215855 4.504762,-74.1214246 4.5047566,-74.1212583 4.5052593,-74.1209739 4.5055107,-74.1208506 4.5057888,-74.1203517 4.5056818,-74.1202766 4.5057139,-74.1200298 4.5058637,-74.1198099 4.5059653,-74.1195738 4.5063129,-74.1193753 4.5061631,-74.1191608 4.5060455,-74.1184795 4.5054358,-74.1177821 4.505024,-74.1180235 4.5039384,-74.1181791 4.5028261,-74.1182435 4.5023608,-74.118222 4.5020079,-74.1181147 4.5017832,-74.1180182 4.5015693,-74.1245306 4.5039759))","{""type"":""Polygon"",""coordinates"":[[[-74.1245306,4.5039759],[-74.124434,4.504163],[-74.1240799,4.5040935],[-74.1239995,4.504254],[-74.1231948,4.5039919],[-74.1231036,4.504286],[-74.1228622,4.5043983],[-74.122079,4.5042165],[-74.1220415,4.5042807],[-74.1219717,4.50427],[-74.1218966,4.5045267],[-74.1217947,4.504623],[-74.1215855,4.504762],[-74.1214246,4.5047566],[-74.1212583,4.5052593],[-74.1209739,4.5055107],[-74.1208506,4.5057888],[-74.1203517,4.5056818],[-74.1202766,4.5057139],[-74.1200298,4.5058637],[-74.1198099,4.5059653],[-74.1195738,4.5063129],[-74.1193753,4.5061631],[-74.1191608,4.5060455],[-74.1184795,4.5054358],[-74.1177821,4.505024],[-74.1180235,4.5039384],[-74.1181791,4.5028261],[-74.1182435,4.5023608],[-74.118222,4.5020079],[-74.1181147,4.5017832],[-74.1180182,4.5015693],[-74.1245306,4.5039759]]]}"
5,Compostela III La finca,Usme,1999,15,,1999,Si,Menos del 50%,2015-12-10T16:48:04.936Z,No,No,No,No,No,No,No,No,POINT (-74.0992025 4.50893027777778),"POLYGON((-74.0997899 4.509559,-74.0996504 4.5095162,-74.0995163 4.5095804,-74.0992856 4.5095643,-74.0989637 4.509436,-74.0984541 4.5093344,-74.0981591 4.5092809,-74.0981108 4.5092167,-74.0982449 4.5087461,-74.0984327 4.5082274,-74.0987277 4.5083343,-74.0991944 4.5084199,-74.0996665 4.5086178,-74.0996504 4.508837,-74.099806 4.5089066,-74.0997738 4.5090884,-74.0998489 4.5091151,-74.0997899 4.509559))","{""type"":""Polygon"",""coordinates"":[[[-74.0997899,4.509559],[-74.0996504,4.5095162],[-74.0995163,4.5095804],[-74.0992856,4.5095643],[-74.0989637,4.509436],[-74.0984541,4.5093344],[-74.0981591,4.5092809],[-74.0981108,4.5092167],[-74.0982449,4.5087461],[-74.0984327,4.5082274],[-74.0987277,4.5083343],[-74.0991944,4.5084199],[-74.0996665,4.5086178],[-74.0996504,4.508837],[-74.099806,4.5089066],[-74.0997738,4.5090884],[-74.0998489,4.5091151],[-74.0997899,4.509559]]]}"
6,Arrayanes,Usme,1975,155,600,1975,Si,Menos del 50%,NULL,Si,Si,Si,Si,Si,No,Si,No,POINT (-74.0868027777778 4.49828583333333),"POLYGON((-74.0878165 4.4985023,-74.0875 4.4985906,-74.0870386 4.4987751,-74.0866256 4.4988713,-74.0865129 4.4989195,-74.0863198 4.4989836,-74.0859604 4.499128,-74.0856332 4.499251,-74.0854266 4.49935,-74.0852442 4.4992323,-74.0851235 4.4991227,-74.0849626 4.4989515,-74.0849036 4.4988071,-74.0848312 4.4986119,-74.0846997 4.4983847,-74.08452 4.4981601,-74.0846515 4.4980825,-74.08452 4.49789,-74.0845737 4.4978499,-74.0848848 4.4982162,-74.0852979 4.4980531,-74.085094 4.4975424,-74.0855044 4.4974809,-74.08555 4.4975691,-74.0857244 4.4975798,-74.085778 4.4975958,-74.0861857 4.497545,-74.0865639 4.4974541,-74.086749 4.4974354,-74.0870038 4.4974087,-74.0870842 4.4974274,-74.0871701 4.4974568,-74.0872237 4.4974702,-74.0873042 4.4974648,-74.0873659 4.4974675,-74.0874436 4.497513,-74.0876609 4.4974408,-74.0877199 4.4974755,-74.0877709 4.4975504,-74.0878245 4.4977483,-74.0879425 4.4977536,-74.0879989 4.4978846,-74.087956 4.4981841,-74.0878889 4.4983071,-74.0879238 4.4984114,-74.0878165 4.4985023))","{""type"":""Polygon"",""coordinates"":[[[-74.0878165,4.4985023],[-74.0875,4.4985906],[-74.0870386,4.4987751],[-74.0866256,4.4988713],[-74.0865129,4.4989195],[-74.0863198,4.4989836],[-74.0859604,4.499128],[-74.0856332,4.499251],[-74.0854266,4.49935],[-74.0852442,4.4992323],[-74.0851235,4.4991227],[-74.0849626,4.4989515],[-74.0849036,4.4988071],[-74.0848312,4.4986119],[-74.0846997,4.4983847],[-74.08452,4.4981601],[-74.0846515,4.4980825],[-74.08452,4.49789],[-74.0845737,4.4978499],[-74.0848848,4.4982162],[-74.0852979,4.4980531],[-74.085094,4.4975424],[-74.0855044,4.4974809],[-74.08555,4.4975691],[-74.0857244,4.4975798],[-74.085778,4.4975958],[-74.0861857,4.497545],[-74.0865639,4.4974541],[-74.086749,4.4974354],[-74.0870038,4.4974087],[-74.0870842,4.4974274],[-74.0871701,4.4974568],[-74.0872237,4.4974702],[-74.0873042,4.4974648],[-74.0873659,4.4974675],[-74.0874436,4.497513],[-74.0876609,4.4974408],[-74.0877199,4.4974755],[-74.0877709,4.4975504],[-74.0878245,4.4977483],[-74.0879425,4.4977536],[-74.0879989,4.4978846],[-74.087956,4.4981841],[-74.0878889,4.4983071],[-74.0879238,4.4984114],[-74.0878165,4.4985023]]]}"
7,Compostela III,Usme,1979,120,300,1979,Si,Menos del 50%,2015-12-10T16:48:42.496Z,Si,Si,Si,No,Si,No,Si,No,POINT (-74.1006272222222 4.50921388888889),"POLYGON((-74.1013992 4.509567,-74.1011685 4.5096178,-74.10097 4.509698,-74.1007608 4.5097569,-74.1006482 4.5097622,-74.1005355 4.5097382,-74.1003799 4.509682,-74.1003451 4.5096178,-74.1002753 4.509575,-74.1000178 4.5095135,-74.0999857 4.5092675,-74.099995 4.5088918,-74.0999668 4.5083236,-74.100079 4.5083689,-74.1002048 4.5084584,-74.1002007 4.5085913,-74.100327 4.5086179,-74.1003139 4.5088691,-74.1004272 4.5088848,-74.1007185 4.5088817,-74.1008935 4.508929,-74.1010773 4.5089219,-74.101021 4.509309,-74.1014233 4.5094039,-74.1013992 4.509567))","{""type"":""Polygon"",""coordinates"":[[[-74.1013992,4.509567],[-74.1011685,4.5096178],[-74.10097,4.509698],[-74.1007608,4.5097569],[-74.1006482,4.5097622],[-74.1005355,4.5097382],[-74.1003799,4.509682],[-74.1003451,4.5096178],[-74.1002753,4.509575],[-74.1000178,4.5095135],[-74.0999857,4.5092675],[-74.099995,4.5088918],[-74.0999668,4.5083236],[-74.100079,4.5083689],[-74.1002048,4.5084584],[-74.1002007,4.5085913],[-74.100327,4.5086179],[-74.1003139,4.5088691],[-74.1004272,4.5088848],[-74.1007185,4.5088817],[-74.1008935,4.508929],[-74.1010773,4.5089219],[-74.101021,4.509309],[-74.1014233,4.5094039],[-74.1013992,4.509567]]]}"
8,Costa Rica,Usme,1988,110,250,1988,No,Más del 50%,2015-12-08T18:28:37.593Z,Si,Si,Si,No,Si,No,Si,No,POINT (-74.0936466666667 4.50999611111111),"POLYGON((-74.0941089 4.5097622,-74.0941073 4.5101449,-74.0941592 4.5105383,-74.0941398 4.5106566,-74.0941125 4.5107259,-74.0940665 4.5107658,-74.0939369 4.5108615,-74.0933988 4.5108926,-74.093154 4.5108906,-74.0931714 4.5105751,-74.09316 4.5103946,-74.0931166 4.5100991,-74.0932 4.509771,-74.0932184 4.5096178,-74.093223 4.509101,-74.0939614 4.509091,-74.0940838 4.5090951,-74.0941257 4.5091205,-74.0941398 4.5091606,-74.0941089 4.5097622))","{""type"":""Polygon"",""coordinates"":[[[-74.0941089,4.5097622],[-74.0941073,4.5101449],[-74.0941592,4.5105383],[-74.0941398,4.5106566],[-74.0941125,4.5107259],[-74.0940665,4.5107658],[-74.0939369,4.5108615],[-74.0933988,4.5108926],[-74.093154,4.5108906],[-74.0931714,4.5105751],[-74.09316,4.5103946],[-74.0931166,4.5100991],[-74.0932,4.509771],[-74.0932184,4.5096178],[-74.093223,4.509101],[-74.0939614,4.509091],[-74.0940838,4.5090951],[-74.0941257,4.5091205],[-74.0941398,4.5091606],[-74.0941089,4.5097622]]]}"
9,Daza - Danubio - Morena - Palermo fiscala,Usme,1985,8,40,1985,No,Más del 50%,2015-12-08T18:29:13.610Z,Si,Si,Si,Si,Si,Si,Si,No,POINT (-74.1137033333333 4.54121555555556),"POLYGON((-74.1134262 4.5420088,-74.1123067 4.542011,-74.112539 4.541703,-74.1126498 4.5415911,-74.1126673 4.5415157,-74.112638 4.541397,-74.1125626 4.5412975,-74.1126537 4.5412173,-74.1125572 4.5406612,-74.1129273 4.5406559,-74.113689 4.5406452,-74.1144239 4.5406344,-74.1153896 4.5405329,-74.1155935 4.5405576,-74.1154862 4.5407535,-74.1151321 4.5408778,-74.1148638 4.5410623,-74.1147315 4.5412181,-74.1146796 4.5413846,-74.1144685 4.5415145,-74.1141644 4.5416779,-74.1138674 4.5418337,-74.1136488 4.5419419,-74.1134262 4.5420088))","{""type"":""Polygon"",""coordinates"":[[[-74.1134262,4.5420088],[-74.1123067,4.542011],[-74.112539,4.541703],[-74.1126498,4.5415911],[-74.1126673,4.5415157],[-74.112638,4.541397],[-74.1125626,4.5412975],[-74.1126537,4.5412173],[-74.1125572,4.5406612],[-74.1129273,4.5406559],[-74.113689,4.5406452],[-74.1144239,4.5406344],[-74.1153896,4.5405329],[-74.1155935,4.5405576],[-74.1154862,4.5407535],[-74.1151321,4.5408778],[-74.1148638,4.5410623],[-74.1147315,4.5412181],[-74.1146796,4.5413846],[-74.1144685,4.5415145],[-74.1141644,4.5416779],[-74.1138674,4.5418337],[-74.1136488,4.5419419],[-74.1134262,4.5420088]]]}"
10,Daza - La Fiscala,Usme,1991,80,450,1991,Si,Menos del 50%,2015-12-08T18:30:40.906Z,Si,Si,No,No,Si,No,No,No,POINT (-74.1102358333333 4.54089416666667),"POLYGON((-74.1107065 4.541966,-74.1100681 4.5410677,-74.109655 4.5413618,-74.1089415 4.5403029,-74.1090993 4.54021,-74.1094135 4.5400784,-74.1096603 4.5400195,-74.1098964 4.5399767,-74.1101164 4.5401158,-74.110583 4.5405489,-74.1106689 4.5406345,-74.1108352 4.5407735,-74.1110551 4.5411051,-74.1112268 4.5409821,-74.1116881 4.5412922,-74.1107065 4.541966))","{""type"":""Polygon"",""coordinates"":[[[-74.1107065,4.541966],[-74.1100681,4.5410677],[-74.109655,4.5413618],[-74.1089415,4.5403029],[-74.1090993,4.54021],[-74.1094135,4.5400784],[-74.1096603,4.5400195],[-74.1098964,4.5399767],[-74.1101164,4.5401158],[-74.110583,4.5405489],[-74.1106689,4.5406345],[-74.1108352,4.5407735],[-74.1110551,4.5411051],[-74.1112268,4.5409821],[-74.1116881,4.5412922],[-74.1107065,4.541966]]]}"
